lakemaxP,lakeminP,airmaxP,airminP,solarP,lairdiff,airdiff,lon,lat,relationH,relationP
6.67068,1.135410345,9.612102958,-1.618359207,187.362885,2.941422958,11.23046217,25.25,71.25,0,0
6.630556667,1.188227586,9.628116962,-2.065020063,186.0606683,2.997560295,11.69313703,25.75,71.25,0,0
6.517423333,1.153444828,9.365094747,-2.138565756,182.5764372,2.847671414,11.5036605,27.75,71.25,0,0
6.588866667,1.205241379,9.865625321,-2.162027278,189.6254073,3.276758654,12.0276526,22.75,70.75,0,0
6.413326667,1.218875862,9.921783117,-3.039755162,184.8126984,3.50845645,12.96153828,23.25,70.75,0,0
6.47057,1.3,10.87021232,-5.211286308,179.0062107,4.39964232,16.08149863,23.75,70.75,0,0
6.59157,1.476582759,11.40602063,-6.556651643,174.7547477,4.81445063,17.96267227,24.25,70.75,0,0
6.274033333,1.4753,11.16142538,-6.778864919,172.6230864,4.887392047,17.9402903,24.75,70.75,0,0
6.258343333,1.4844,11.21018644,-6.519469386,171.201119,4.951843107,17.72965583,25.25,70.75,0,0
6.167436667,1.518644828,10.9658877,-5.921774848,170.3559262,4.798451033,16.88766255,25.75,70.75,0,0
6.66834,1.528293103,11.95505237,-6.735556776,172.2668037,5.28671237,18.69060915,26.25,70.75,0,0
6.413413333,1.586244828,11.44079286,-8.440509672,170.1397273,5.027379527,19.88130253,27.25,70.75,0,0
6.435893333,1.665362069,11.26057296,-9.474565855,170.0058446,4.824679627,20.73513882,27.75,70.75,0,0
6.242106667,1.6173,11.05592824,-9.461386688,169.8235785,4.813821573,20.51731493,28.25,70.75,0,0
6.255396667,1.532089655,10.56823576,-8.80798679,170.7557902,4.312839093,19.37622255,28.75,70.75,0,0
6.154776667,1.441665517,10.42919699,-7.601153204,169.838059,4.274420323,18.03035019,29.25,70.75,0,0
5.990006667,1.193372414,9.313376138,-4.234733638,171.9371341,3.323369471,13.54810978,30.25,70.75,0,0
6.564326667,1.254593103,10.25250212,-1.743377135,183.1257497,3.688175453,11.99587926,20.75,70.25,0,0
6.52193,1.269986207,10.329643,-2.478869678,182.2851876,3.807713,12.80851268,21.25,70.25,0,0
6.631656667,1.443255172,11.22803022,-5.208631094,182.1400714,4.596373553,16.43666131,21.75,70.25,0,0
7.086643333,1.749296552,11.98858602,-9.637935995,176.8877863,4.901942687,21.62652202,22.75,70.25,0,0
6.99526,1.7367,12.51842867,-10.39177467,172.2114726,5.52316867,22.91020334,23.25,70.25,0,0
6.744713333,1.772641379,12.23215405,-11.46674891,167.9384512,5.487440717,23.69890296,23.75,70.25,0,0
6.56574,1.729186207,11.92973571,-11.15990843,166.3087033,5.36399571,23.08964414,24.25,70.25,0,0
6.33383,1.6586,12.11785579,-10.53049454,163.6321088,5.78402579,22.64835033,24.75,70.25,0,0
6.453513333,1.690210345,12.21041701,-10.80686655,164.2994882,5.756903677,23.01728356,25.25,70.25,0,0
6.423733333,1.627727586,12.16294837,-10.2186845,164.5614079,5.739215037,22.38163287,25.75,70.25,0,0
6.114376667,1.5876,11.42245049,-10.66129025,166.7719151,5.308073823,22.08374074,26.25,70.25,0,0
6.180526667,1.622775862,11.6011266,-10.06844434,166.5290177,5.420599933,21.66957094,26.75,70.25,0,0
6.169533333,1.637234483,11.81442219,-10.46519785,166.3443312,5.644888857,22.27962004,27.25,70.25,0,0
6.463383333,1.716424138,12.35008781,-10.74384406,165.3915534,5.886704477,23.09393187,27.75,70.25,0,0
6.328066667,1.740082759,12.36490802,-11.13166911,163.9790298,6.036841353,23.49657713,28.25,70.25,0,0
6.315476667,1.716503448,11.90972923,-11.32842196,164.535757,5.594252563,23.23815119,28.75,70.25,0,0
6.135203333,1.6977,11.63444929,-11.44208098,164.3892008,5.499245957,23.07653027,29.25,70.25,0,0
6.086656667,1.631872414,11.36421451,-11.05236804,165.7426762,5.277557843,22.41658255,29.75,70.25,0,0
6.019713333,1.206137931,9.654721992,-5.309619313,172.4724507,3.635008659,14.96434131,30.75,70.25,0,0
6.43982,1.3868,11.14667299,-3.291947581,177.8793006,4.70685299,14.43862057,18.25,69.75,0,0
7.02043,1.673168966,12.52871441,-6.902945674,171.3810125,5.50828441,19.43166008,18.75,69.75,0,0
6.90425,1.735827586,12.45042693,-8.966122789,168.6183475,5.54617693,21.41654972,19.25,69.75,0,0
6.854886667,1.821927586,12.29686361,-9.645566729,166.4714352,5.441976943,21.94243034,19.75,69.75,0,0
6.83358,1.779675862,12.60086477,-9.027526555,163.7055874,5.76728477,21.62839133,20.25,69.75,0,0
6.820156667,1.817958621,12.70917968,-9.006137892,163.762727,5.889023013,21.71531757,20.75,69.75,0,0
6.777456667,1.795782759,12.12132841,-9.475653115,164.767673,5.343871743,21.59698153,21.25,69.75,0,0
6.627803333,1.7634,11.20508754,-11.00488311,164.7412269,4.577284207,22.20997065,21.75,69.75,0,0
6.63889,1.766631034,10.9253506,-12.08384102,165.8571432,4.2864606,23.00919162,22.25,69.75,0,0
6.493986667,1.740017241,11.396227,-11.93980049,165.6064151,4.902240333,23.33602749,22.75,69.75,0,0
6.58129,1.715365517,12.10624395,-10.73580448,164.7063795,5.52495395,22.84204843,23.25,69.75,0,0
6.45441,1.666106897,11.94100321,-11.02109711,165.0177623,5.48659321,22.96210032,23.75,69.75,0,0
6.45238,1.651275862,12.19185948,-11.25568602,165.6250734,5.73947948,23.4475455,24.25,69.75,0,0
6.239033333,1.635896552,11.92042713,-11.99744278,166.5678987,5.681393797,23.91786991,24.75,69.75,0,0
6.481413333,1.705189655,12.0551001,-12.18506662,168.2494554,5.573686767,24.24016672,25.25,69.75,0,0
6.50729,1.689213793,12.15499044,-12.60407989,169.6409921,5.64770044,24.75907033,25.75,69.75,0,0
6.20466,1.5926,12.13063941,-12.78898494,171.1210415,5.92597941,24.91962435,26.25,69.75,0,0
6.493293333,1.656472414,12.57812919,-12.10202866,170.2051221,6.084835857,24.68015785,26.75,69.75,0,0
6.277373333,1.6276,12.62962787,-11.57887361,169.3977962,6.352254537,24.20850148,27.25,69.75,0,0
6.203426667,1.591834483,12.65744696,-11.67791139,168.1219646,6.454020293,24.33535835,27.75,69.75,0,0
6.34603,1.601037931,12.36494013,-11.51077179,167.2837057,6.01891013,23.87571192,28.25,69.75,0,0
6.361526667,1.619934483,12.44839621,-11.42899902,167.0797654,6.086869543,23.87739523,28.75,69.75,0,0
6.289833333,1.6501,12.72939665,-11.41018405,166.7093855,6.439563317,24.1395807,29.25,69.75,0,0
6.303646667,1.626,12.73604639,-10.7892394,166.4338442,6.432399723,23.52528579,29.75,69.75,0,0
6.44599,1.635706897,12.44403081,-10.44033564,168.1270815,5.99804081,22.88436645,30.25,69.75,0,0
5.976126667,1.229403448,10.65099214,-6.965342302,172.0102135,4.674865473,17.61633444,30.75,69.75,0,0
6.165626667,1.311827586,10.71799704,-6.686693105,176.7562168,4.552370373,17.40469015,31.25,69.75,0,0
6.23994,1.262058621,10.71213334,-6.504963806,178.659158,4.47219334,17.21709715,31.75,69.75,0,0
6.611336667,1.515372414,12.01059366,-8.002033034,183.4062448,5.399256993,20.01262669,32.25,69.75,0,0
6.420943333,1.226244828,10.24655359,-5.906381602,184.2336653,3.825610257,16.15293519,32.75,69.75,0,0
7.638851613,1.318306897,11.37624936,-0.017207581,196.0727079,3.737397747,11.39345694,15.75,69.25,0,0
7.330176667,1.301427586,11.45792412,-0.55681876,192.2261284,4.127747453,12.01474288,16.25,69.25,0,0
7.144576667,1.372868966,11.54334189,-1.638735331,187.5567641,4.398765223,13.18207722,16.75,69.25,0,0
7.214716667,1.5491,12.66028222,-3.715204931,182.9852521,5.445565553,16.37548715,17.25,69.25,0,0
7.227663333,1.661617241,12.91446202,-6.289821428,176.3104323,5.686798687,19.20428345,17.75,69.25,0,0
7.043116667,1.782544828,13.11409271,-8.298132443,172.037512,6.070976043,21.41222515,18.25,69.25,0,0
7.00243,1.799375862,13.17136283,-9.542592172,168.2932358,6.16893283,22.713955,18.75,69.25,0,0
